CASEID,v161444,v161446,v161447,v161448,v161450,v161452,v161458
300131, 0, 0, 1, 0, 0, 0, 0
300135, 0, 1, 0, 1, 0, 1, 1
300136,-1,-1,-1,-1,-1,-1,-1
300137,-1,-1,-1,-1,-1,-1,-1
300140, 1, 0, 0, 0, 0, 0, 0
300142,-1,-1,-1,-1,-1,-1,-1
300143,-1,-1,-1,-1,-1,-1,-1
300144,-1,-1,-1,-1,-1,-1,-1
300146, 0, 0, 0, 0, 0, 0, 0
300148, 0, 0, 0, 0, 0, 0, 0
300150,-1,-1,-1,-1,-1,-1,-1
300151,-1,-1,-1,-1,-1,-1,-1
300152,-1,-1,-1,-1,-1,-1,-1
300153, 0, 0, 0, 0, 0, 1, 0
300154, 0, 0, 0, 0, 0, 0, 0
300155, 0, 0, 0, 0, 0, 0, 0
300161,-1,-1,-1,-1,-1,-1,-1
300165, 0, 0, 1, 0, 0, 0, 0
300168, 0, 0, 0, 0, 0, 0, 0
300169,-1,-1,-1,-1,-1,-1,-1
300170, 1, 0, 0, 0, 1, 1, 0
300171,-1,-1,-1,-1,-1,-1,-1
300172, 0, 1, 1, 1, 1, 1, 1
300175, 0, 0, 1, 0, 1, 1, 0
300176, 0, 0, 0, 0, 0, 0, 0
300177,-1,-1,-1,-1,-1,-1,-1
300179,-1,-1,-1,-1,-1,-1,-1
300180,-1,-1,-1,-1,-1,-1,-1
300181, 0, 0, 0, 0, 0, 0, 0
300182,-1,-1,-1,-1,-1,-1,-1
300184, 0, 0, 0, 0, 0, 0, 0
300185, 0, 0, 0, 0, 0, 0, 0
300186, 0, 0, 0, 0, 0, 0, 0
300187, 0, 0, 1, 0, 0, 1, 0
300188,-1,-1,-1,-1,-1,-1,-1
300195, 0, 0, 0, 0, 0, 1, 0
300196, 0, 0, 0, 1, 0, 0, 0
300198,-1,-1,-1,-1,-1,-1,-1
300200,-1,-1,-1,-1,-1,-1,-1
300204, 0, 0, 0, 0, 0, 0, 0
300207, 0, 1, 1, 1, 1, 1, 1
300209,-1,-1,-1,-1,-1,-1,-1
300210, 0, 0, 0, 0, 0, 0, 0
300212,-1,-1,-1,-1,-1,-1,-1
300215, 1, 0, 0, 0, 0, 0, 0
300217, 1, 0, 0, 0, 1, 0, 0
300222, 0, 0, 0, 0, 0, 0, 0
300224, 0, 0, 0, 0, 0, 0, 0
300227,-1,-1,-1,-1,-1,-1,-1
300228, 1, 0, 0, 0, 1, 0, 0
300230,-1,-1,-1,-1,-1,-1,-1
300232, 0, 0, 0, 0, 0, 0, 0
300234, 0, 0, 1, 0, 0, 0, 0
300235, 0, 1, 1, 1, 1, 0, 0
300237, 0, 0, 0, 0, 0, 0, 0
300238,-1,-1,-1,-1,-1,-1,-1
300240, 0, 0, 0, 0, 0, 0, 0
300242, 0, 1, 0, 1, 0, 1, 1
300244, 0, 1, 0, 0, 0, 0, 0
300245,-1,-1,-1,-1,-1,-1,-1
300246, 0, 0, 0, 0, 1, 0, 0
300248,-1,-1,-1,-1,-1,-1,-1
300250,-1,-1,-1,-1,-1,-1,-1
300252, 1, 0, 0, 1, 0, 1, 1
300254,-1,-1,-1,-1,-1,-1,-1
300255, 0, 0, 0, 0, 0, 0, 0
300256, 0, 0, 0, 0, 0, 0, 0
300259, 0, 0, 0, 0, 0, 1, 0
300261, 1, 0, 1, 0, 1, 0, 0
300264,-1,-1,-1,-1,-1,-1,-1
300267, 0, 0, 0, 0, 0, 0, 0
300269, 1, 1, 1, 0, 1, 1, 0
300270,-1,-1,-1,-1,-1,-1,-1
300273, 0, 0, 0, 0, 0, 0, 0
300276,-9,-9,-9,-9,-9,-9,-9
300278, 0, 0, 0, 0, 0, 1, 0
300279,-1,-1,-1,-1,-1,-1,-1
300280, 1, 0, 0, 0, 0, 0, 0
300282,-1,-1,-1,-1,-1,-1,-1
300284,-1,-1,-1,-1,-1,-1,-1
300289, 0, 0, 1, 0, 0, 0, 0
300297,-1,-1,-1,-1,-1,-1,-1
300299, 1, 0, 0, 0, 1, 0, 0
300303,-1,-1,-1,-1,-1,-1,-1
300304,-1,-1,-1,-1,-1,-1,-1
300307, 0, 0, 0, 0, 0, 0, 0
300312, 0, 0, 0, 0, 0, 0, 0
300313,-1,-1,-1,-1,-1,-1,-1
300317,-1,-1,-1,-1,-1,-1,-1
300322,-1,-1,-1,-1,-1,-1,-1
300325,-1,-1,-1,-1,-1,-1,-1
300326, 0, 1, 1, 1, 1, 1, 1
300327,-1,-1,-1,-1,-1,-1,-1
300333,-1,-1,-1,-1,-1,-1,-1
300334, 0, 0, 0, 1, 0, 1, 0
300335, 0, 0, 0, 1, 0, 0, 1
300336,-1,-1,-1,-1,-1,-1,-1
300339, 0, 0, 0, 1, 0, 0, 0
300342, 0, 1, 0, 1, 0, 1, 1
300343,-1,-1,-1,-1,-1,-1,-1
300344,-1,-1,-1,-1,-1,-1,-1
300345, 0, 0, 0, 0, 0, 1, 0
300352, 0, 0, 0, 0, 0, 1, 0
300360, 0, 0, 0, 0, 0, 0, 0
300361, 0, 0, 0, 0, 0, 1, 1
300363, 0, 0, 0, 0, 0, 0, 0
300364, 0, 0, 0, 0, 0, 1, 0
300371, 1, 0, 1, 0, 1, 0, 1
300375,-1,-1,-1,-1,-1,-1,-1
300376, 0, 0, 1, 0, 0, 0, 0
300377,-1,-1,-1,-1,-1,-1,-1
300383, 1, 0, 1, 0, 1, 0, 0
300386, 1, 0, 0, 0, 0, 0, 1
300387,-1,-1,-1,-1,-1,-1,-1
300389,-1,-1,-1,-1,-1,-1,-1
300393,-1,-1,-1,-1,-1,-1,-1
300398,-1,-1,-1,-1,-1,-1,-1
300400, 1, 0, 1, 0, 1, 1, 0
300402, 0, 1, 0, 0, 0, 0, 0
300403,-1,-1,-1,-1,-1,-1,-1
300404, 0, 0, 1, 0, 0, 0, 0
300406,-1,-1,-1,-1,-1,-1,-1
300408,-1,-1,-1,-1,-1,-1,-1
300423, 1, 0, 0, 0, 0, 0, 0
300424,-1,-1,-1,-1,-1,-1,-1
300434, 0, 0, 1, 0, 0, 0, 0
300437,-1,-1,-1,-1,-1,-1,-1
300448,-1,-1,-1,-1,-1,-1,-1
300450, 0, 0, 0, 0, 0, 1, 0
300453, 0, 0, 0, 0, 0, 0, 0
300454,-1,-1,-1,-1,-1,-1,-1
300456,-1,-1,-1,-1,-1,-1,-1
300458, 0, 0, 0, 0, 0, 0, 0
300460, 0, 0, 0, 0, 0, 0, 0
300465,-1,-1,-1,-1,-1,-1,-1
300467, 1, 0, 0, 0, 0, 1, 0
300473,-1,-1,-1,-1,-1,-1,-1
300475, 1, 1, 1, 1, 1, 0, 1
300477,-1,-1,-1,-1,-1,-1,-1
300482, 1, 1, 1, 0, 1, 1, 0
300488, 0, 0, 0, 0, 0, 0, 0
300493, 0, 0, 0, 0, 0, 0, 0
300495, 0, 0, 0, 0, 0, 0, 0
300497, 0, 0, 0, 1, 0, 1, 0
300499, 0, 0, 1, 1, 1, 0, 0
300500, 1, 0, 0, 0, 0, 0, 0
300501,-1,-1,-1,-1,-1,-1,-1
300503,-1,-1,-1,-1,-1,-1,-1
300504, 0, 0, 0, 0, 0, 0, 0
300517, 1, 0, 0, 0, 0, 0, 0
300518,-1,-1,-1,-1,-1,-1,-1
300522, 0, 0, 0, 0, 0, 1, 0
300526,-1,-1,-1,-1,-1,-1,-1
300534, 0, 1, 1, 1, 0, 1, 1
300540,-1,-1,-1,-1,-1,-1,-1
300541, 0, 1, 1, 0, 1, 1, 1
300542, 0, 1, 1, 0, 0, 0, 0
300543,-1,-1,-1,-1,-1,-1,-1
300545, 0, 0, 0, 0, 0, 0, 0
300546, 1, 0, 0, 1, 0, 0, 0
300547, 1, 1, 0, 0, 0, 0, 0
300549, 0, 1, 0, 1, 0, 0, 1
300552, 0, 0, 0, 0, 0, 0, 0
300554, 0, 0, 1, 0, 0, 0, 1
300555, 0, 0, 0, 1, 0, 0, 0
300558, 0, 0, 1, 0, 0, 0, 0
300559,-1,-1,-1,-1,-1,-1,-1
300561,-1,-1,-1,-1,-1,-1,-1
300565,-1,-1,-1,-1,-1,-1,-1
300566,-1,-1,-1,-1,-1,-1,-1
300569, 0, 0, 1, 0, 0, 1, 0
300571, 0, 0, 0, 0, 0, 0, 0
300572, 0, 0, 0, 0, 0, 0, 0
300574,-1,-1,-1,-1,-1,-1,-1
300575,-1,-1,-1,-1,-1,-1,-1
300578, 1, 0, 0, 0, 0, 0, 0
300581, 1, 0, 0, 0, 0, 0, 1
300583, 0, 1, 0, 0, 0, 0, 0
300586, 0, 0, 0, 0, 0, 0, 0
300587,-1,-1,-1,-1,-1,-1,-1
300589, 1, 0, 0, 0, 0, 0, 0
300597, 0, 0, 0, 0, 0, 0, 0
300600, 0, 1, 0, 0, 0, 0, 0
300601,-1,-1,-1,-1,-1,-1,-1
300603, 1, 1, 0, 1, 1, 1, 1
300605,-1,-1,-1,-1,-1,-1,-1
300609,-1,-1,-1,-1,-1,-1,-1
300610,-1,-1,-1,-1,-1,-1,-1
300611,-1,-1,-1,-1,-1,-1,-1
300612,-1,-1,-1,-1,-1,-1,-1
300614,-1,-1,-1,-1,-1,-1,-1
300617, 0, 0, 0, 0, 0, 0, 0
300620, 0, 0, 0, 0, 0, 0, 0
300621, 0, 0, 0, 0, 0, 1, 0
300622, 0, 0, 1, 0, 0, 0, 0
300628, 0, 1, 0, 0, 0, 0, 0
300629,-1,-1,-1,-1,-1,-1,-1
300632, 1, 1, 0, 0, 0, 1, 1
300633,-1,-1,-1,-1,-1,-1,-1
300634, 1, 0, 1, 0, 0, 0, 0
300636, 1, 1, 1, 0, 0, 0, 0
300637,-1,-1,-1,-1,-1,-1,-1
300638, 1, 1, 0, 1, 1, 0, 1
300641, 1, 0, 0, 0, 0, 0, 1
300642,-1,-1,-1,-1,-1,-1,-1
300644,-1,-1,-1,-1,-1,-1,-1
300655, 0, 0, 1, 0, 1, 0, 0
300656, 0, 0, 0, 0, 0, 0, 0
300657, 0, 1, 0, 1, 0, 1, 1
300658, 1, 1, 0, 1, 0, 1, 1
300660, 0, 0, 0, 0, 0, 1, 1
300663,-1,-1,-1,-1,-1,-1,-1
300674,-1,-1,-1,-1,-1,-1,-1
300675,-1,-1,-1,-1,-1,-1,-1
300676, 0, 0, 0, 0, 0, 0, 0
300677, 0, 0, 0, 0, 0, 0, 0
300679, 1, 0, 0, 1, 0, 1, 1
300680,-1,-1,-1,-1,-1,-1,-1
300687,-1,-1,-1,-1,-1,-1,-1
300693,-1,-1,-1,-1,-1,-1,-1
300694,-1,-1,-1,-1,-1,-1,-1
300695, 0, 0, 0, 1, 1, 1, 0
300696, 0, 0, 0, 0, 0, 1, 0
300699, 0, 0, 0, 0, 0, 1, 0
300702,-1,-1,-1,-1,-1,-1,-1
300703, 0, 1, 0, 0, 0, 0, 1
300704, 0, 0, 1, 0, 1, 0, 0
300705,-1,-1,-1,-1,-1,-1,-1
300706, 0, 0, 1, 0, 1, 0, 0
300709,-1,-1,-1,-1,-1,-1,-1
300711, 0, 0, 0, 0, 0, 0, 0
300717,-1,-1,-1,-1,-1,-1,-1
300719, 0, 0, 0, 0, 0, 0, 0
300721, 0, 0, 0, 0, 0, 0, 0
300723,-1,-1,-1,-1,-1,-1,-1
300724, 0, 0, 0, 0, 0, 0, 0
300726, 0, 0, 0, 0, 0, 0, 0
300727,-1,-1,-1,-1,-1,-1,-1
300731,-1,-1,-1,-1,-1,-1,-1
300732,-1,-1,-1,-1,-1,-1,-1
300734, 1, 0, 0, 0, 0, 0, 0
300735, 1, 0, 0, 0, 0, 0, 0
300736, 0, 0, 0, 0, 0, 0, 0
300739, 0, 1, 1, 1, 1, 1, 1
300740,-1,-1,-1,-1,-1,-1,-1
300743,-1,-1,-1,-1,-1,-1,-1
300745, 0, 0, 0, 0, 0, 0, 0
300747,-1,-1,-1,-1,-1,-1,-1
300749,-1,-1,-1,-1,-1,-1,-1
300750, 1, 0, 0, 0, 0, 0, 0
300751, 1, 0, 0, 1, 1, 1, 0
300753,-1,-1,-1,-1,-1,-1,-1
300757, 1, 0, 0, 1, 0, 0, 0
300759, 0, 0, 0, 0, 0, 0, 0
300766,-1,-1,-1,-1,-1,-1,-1
300768,-1,-1,-1,-1,-1,-1,-1
300769, 0, 0, 0, 0, 0, 0, 0
300770,-1,-1,-1,-1,-1,-1,-1
300774,-1,-1,-1,-1,-1,-1,-1
300775,-1,-1,-1,-1,-1,-1,-1
300779, 0, 0, 0, 1, 0, 1, 1
300780,-1,-1,-1,-1,-1,-1,-1
300784, 1, 0, 0, 0, 1, 0, 1
300785, 1, 0, 0, 0, 0, 0, 0
300789, 0, 0, 0, 0, 0, 0, 0
300790,-1,-1,-1,-1,-1,-1,-1
300792, 1, 1, 1, 1, 1, 1, 1
300795,-1,-1,-1,-1,-1,-1,-1
300796, 1, 1, 0, 0, 0, 1, 1
300798, 0, 0, 0, 0, 0, 0, 0
300799,-1,-1,-1,-1,-1,-1,-1
300807,-1,-1,-1,-1,-1,-1,-1
300808,-1,-1,-1,-1,-1,-1,-1
300812,-1,-1,-1,-1,-1,-1,-1
300813,-1,-1,-1,-1,-1,-1,-1
300816, 0, 0, 0, 0, 1, 0, 0
300819, 0, 0, 1, 0, 0, 0, 0
300820,-1,-1,-1,-1,-1,-1,-1
300821,-1,-1,-1,-1,-1,-1,-1
300827, 0, 0, 0, 1, 0, 0, 1
300831,-1,-1,-1,-1,-1,-1,-1
300833, 0, 0, 0, 0, 0, 0, 0
300839, 0, 0, 0, 0, 0, 0, 0
300847, 0, 1, 1, 1, 1, 1, 1
300850,-1,-1,-1,-1,-1,-1,-1
300853, 0, 0, 1, 0, 0, 0, 0
300855,-1,-1,-1,-1,-1,-1,-1
300857, 0, 1, 1, 1, 1, 1, 1
300859, 0, 0, 0, 0, 0, 0, 0
300860,-1,-1,-1,-1,-1,-1,-1
300864, 0, 0, 0, 0, 0, 1, 1
300869, 0, 0, 1, 0, 0, 1, 0
300872,-1,-1,-1,-1,-1,-1,-1
300873,-1,-1,-1,-1,-1,-1,-1
300874,-1,-1,-1,-1,-1,-1,-1
300875,-1,-1,-1,-1,-1,-1,-1
300881,-1,-1,-1,-1,-1,-1,-1
300882, 0, 0, 0, 0, 0, 0, 0
300883, 0, 0, 0, 0, 0, 0, 0
300885, 0, 0, 0, 0, 0, 0, 0
300887, 0, 0, 0, 0, 0, 1, 0
300890, 0, 0, 0, 0, 0, 0, 0
300893,-1,-1,-1,-1,-1,-1,-1
300895,-1,-1,-1,-1,-1,-1,-1
300898, 1, 0, 1, 0, 0, 0, 0
300900,-1,-1,-1,-1,-1,-1,-1
300901, 0, 0, 0, 0, 0, 0, 0
300906, 0, 0, 0, 1, 0, 1, 1
300910,-1,-1,-1,-1,-1,-1,-1
300911, 0, 0, 1, 0, 1, 0, 0
300912,-1,-1,-1,-1,-1,-1,-1
300916, 1, 0, 0, 0, 1, 1, 0
300917, 0, 0, 1, 0, 1, 0, 0
300920, 1, 0, 0, 0, 0, 0, 0
300921, 1, 0, 0, 0, 0, 0, 0
300924, 1, 0, 0, 0, 0, 1, 0
300925, 0, 0, 0, 0, 0, 0, 0
300926, 0, 0, 0, 0, 0, 0, 0
300927,-1,-1,-1,-1,-1,-1,-1
300928,-1,-1,-1,-1,-1,-1,-1
300930,-1,-1,-1,-1,-1,-1,-1
300931,-1,-1,-1,-1,-1,-1,-1
300935, 0, 0, 1, 0, 1, 0, 0
300937, 0, 0, 0, 0, 0, 0, 0
300940, 0, 0, 1, 0, 0, 1, 0
300947,-1,-1,-1,-1,-1,-1,-1
300953, 0, 0, 0, 0, 0, 0, 0
300956,-1,-1,-1,-1,-1,-1,-1
300963,-1,-1,-1,-1,-1,-1,-1
300968,-1,-1,-1,-1,-1,-1,-1
300970,-1,-1,-1,-1,-1,-1,-1
300973, 0, 1, 0, 1, 0, 1, 1
300976, 0, 1, 0, 0, 0, 0, 0
300977, 0, 0, 0, 0, 0, 0, 0
300979, 0, 0, 0, 0, 0, 1, 0
300982, 0, 0, 0, 0, 0, 0, 0
300983, 0, 0, 0, 0, 0, 1, 0
300991, 0, 0, 0, 0, 0, 0, 0
300994,-1,-1,-1,-1,-1,-1,-1
301000, 0, 0, 0, 0, 0, 1, 0
301006, 0, 1, 1, 1, 0, 0, 1
301007, 0, 1, 1, 0, 0, 1, 1
301008,-1,-1,-1,-1,-1,-1,-1
301010, 0, 0, 0, 0, 0, 0, 0
301011,-1,-1,-1,-1,-1,-1,-1
301014, 0, 0, 0, 0, 0, 0, 0
301018, 0, 0, 0, 0, 0, 0, 0
301019, 0, 0, 1, 0, 0, 0, 0
301020, 0, 0, 0, 0, 1, 0, 0
301023,-1,-1,-1,-1,-1,-1,-1
301024, 0, 0, 0, 0, 0, 1, 0
301026,-1,-1,-1,-1,-1,-1,-1
301028,-1,-1,-1,-1,-1,-1,-1
301030, 1, 0, 1, 0, 0, 0, 0
301033, 1, 0, 0, 0, 0, 0, 0
301034,-1,-1,-1,-1,-1,-1,-1
301043,-1,-1,-1,-1,-1,-1,-1
301045, 0, 0, 0, 0, 0, 0, 0
301047,-1,-1,-1,-1,-1,-1,-1
301049,-1,-1,-1,-1,-1,-1,-1
301052,-1,-1,-1,-1,-1,-1,-1
301056, 1, 0, 0, 0, 0, 0, 0
301059,-1,-1,-1,-1,-1,-1,-1
301060,-1,-1,-1,-1,-1,-1,-1
301061, 1, 0, 0, 1, 0, 0, 0
301064, 0, 0, 0, 0, 0, 0, 0
301065, 0, 0, 0, 0, 0, 0, 0
301068, 0, 0, 0, 0, 0, 0, 0
301070, 0, 1, 0, 0, 0, 0, 0
301071,-1,-1,-1,-1,-1,-1,-1
301073, 1, 1, 0, 0, 0, 0, 1
301075, 1, 0, 0, 0, 0, 0, 0
301081, 0, 0, 0, 0, 0, 0, 0
301086, 0, 0, 0, 0, 0, 0, 0
301087, 0, 0, 0, 0, 0, 0, 0
301089,-1,-1,-1,-1,-1,-1,-1
301093,-1,-1,-1,-1,-1,-1,-1
301094, 0, 0, 0, 0, 0, 1, 0
301096,-1,-1,-1,-1,-1,-1,-1
301100, 0, 0, 0, 0, 0, 0, 0
301101,-1,-1,-1,-1,-1,-1,-1
301103, 1, 0, 0, 0, 0, 0, 0
301105, 0, 0, 0, 0, 0, 0, 0
301108,-1,-1,-1,-1,-1,-1,-1
301110,-1,-1,-1,-1,-1,-1,-1
301111, 0, 0, 0, 0, 0, 0, 0
301116, 0, 0, 1, 0, 0, 0, 0
301117, 0, 0, 0, 0, 0, 0, 0
301119, 0, 1, 0, 0, 0, 0, 0
301121, 1, 0, 0, 0, 0, 0, 0
301122, 1, 0, 1, 0, 1, 1, 0
301125, 1, 0, 0, 0, 0, 0, 0
301129,-1,-1,-1,-1,-1,-1,-1
301130, 0, 0, 1, 0, 1, 0, 0
301131,-1,-1,-1,-1,-1,-1,-1
301134,-1,-1,-1,-1,-1,-1,-1
301135, 0, 0, 1, 0, 0, 1, 0
301139,-1,-1,-1,-1,-1,-1,-1
301141, 1, 0, 1, 1, 0, 1, 0
301143, 1, 0, 0, 0, 0, 0, 0
301144, 1, 0, 0, 0, 0, 0, 0
301145,-1,-1,-1,-1,-1,-1,-1
301146, 0, 0, 1, 0, 0, 0, 0
301147, 1, 0, 0, 0, 0, 0, 0
301148, 1, 0, 0, 0, 0, 1, 0
301149,-1,-1,-1,-1,-1,-1,-1
301150, 0, 0, 0, 0, 0, 1, 1
301155,-1,-1,-1,-1,-1,-1,-1
301156,-1,-1,-1,-1,-1,-1,-1
301158,-1,-1,-1,-1,-1,-1,-1
301160, 0, 1, 1, 0, 0, 1, 0
301162, 0, 1, 0, 1, 0, 1, 0
301164,-1,-1,-1,-1,-1,-1,-1
301166, 0, 1, 0, 0, 0, 1, 1
301167, 1, 1, 0, 1, 0, 1, 0
301169,-1,-1,-1,-1,-1,-1,-1
301170, 0, 1, 0, 1, 0, 1, 1
301171, 0, 0, 1, 1, 0, 0, 0
301173, 0, 0, 0, 0, 0, 0, 0
301176, 0, 0, 1, 0, 0, 1, 0
301184, 0, 0, 0, 0, 0, 0, 0
301185,-1,-1,-1,-1,-1,-1,-1
301187, 0, 0, 1, 0, 0, 0, 0
301189, 0, 0, 1, 0, 0, 1, 0
301190,-1,-1,-1,-1,-1,-1,-1
301193,-1,-1,-1,-1,-1,-1,-1
301194,-1,-1,-1,-1,-1,-1,-1
301195, 0, 0, 0, 0, 0, 1, 1
301200,-1,-1,-1,-1,-1,-1,-1
301201,-1,-1,-1,-1,-1,-1,-1
301208, 0, 0, 0, 0, 0, 0, 0
301211,-1,-1,-1,-1,-1,-1,-1
301213, 1, 1, 1, 1, 0, 1, 0
301215, 0, 0, 0, 0, 0, 0, 0
301221, 1, 1, 0, 1, 0, 0, 1
301225, 1, 0, 0, 0, 0, 0, 0
301226, 0, 0, 0, 0, 0, 0, 0
301227,-1,-1,-1,-1,-1,-1,-1
301228, 0, 0, 0, 0, 0, 0, 0
301232, 0, 0, 0, 1, 0, 0, 1
301234,-1,-1,-1,-1,-1,-1,-1
301235, 0, 0, 0, 0, 0, 0, 0
301237, 0, 0, 0, 0, 0, 0, 0
301238,-1,-1,-1,-1,-1,-1,-1
301240,-1,-1,-1,-1,-1,-1,-1
301242, 0, 0, 0, 0, 0, 0, 0
301244, 1, 0, 0, 0, 0, 0, 0
301245, 0, 0, 0, 0, 0, 0, 1
301247, 1, 0, 1, 0, 1, 0, 0
301258, 1, 1, 1, 1, 1, 1, 0
301259, 1, 1, 0, 1, 0, 1, 1
301262,-1,-1,-1,-1,-1,-1,-1
301264,-1,-1,-1,-1,-1,-1,-1
301268,-1,-1,-1,-1,-1,-1,-1
301271, 1, 1, 1, 1, 0, 1, 1
301273,-1,-1,-1,-1,-1,-1,-1
301274,-1,-1,-1,-1,-1,-1,-1
301276,-1,-1,-1,-1,-1,-1,-1
301278,-1,-1,-1,-1,-1,-1,-1
301280, 0, 1, 1, 0, 0, 0, 0
301281,-1,-1,-1,-1,-1,-1,-1
301282,-1,-1,-1,-1,-1,-1,-1
301283, 1, 0, 0, 0, 0, 1, 0
301285, 1, 0, 0, 0, 0, 1, 0
301288,-1,-1,-1,-1,-1,-1,-1
301293,-1,-1,-1,-1,-1,-1,-1
301294, 1, 0, 0, 0, 0, 0, 0
301296, 0, 0, 0, 0, 0, 0, 0
301298, 1, 0, 0, 0, 0, 0, 0
301302, 0, 0, 0, 0, 0, 0, 0
301304, 0, 1, 0, 0, 0, 0, 0
301305,-1,-1,-1,-1,-1,-1,-1
301306, 1, 0, 1, 0, 0, 0, 0
301308, 1, 0, 0, 0, 0, 0, 0
301313, 1, 0, 1, 0, 0, 1, 0
301314, 0, 0, 0, 0, 0, 0, 0
301316, 0, 0, 0, 0, 0, 1, 0
301317, 1, 0, 0, 0, 1, 1, 0
301319,-1,-1,-1,-1,-1,-1,-1
301321, 0, 0, 0, 0, 0, 1, 0
301322, 0, 0, 0, 0, 0, 0, 0
301323,-1,-1,-1,-1,-1,-1,-1
301324, 0, 0, 0, 0, 0, 0, 0
301325, 0, 1, 0, 0, 0, 0, 0
301331, 1, 0, 0, 0, 0, 0, 0
301332, 0, 0, 1, 0, 1, 0, 0
301333, 0, 0, 1, 0, 1, 0, 0
301337, 0, 1, 0, 1, 0, 1, 1
301338,-1,-1,-1,-1,-1,-1,-1
301342, 0, 0, 1, 0, 0, 0, 0
301344,-1,-1,-1,-1,-1,-1,-1
301345, 1, 1, 1, 1, 1, 1, 1
301346, 0, 1, 0, 0, 0, 0, 0
301347, 1, 1, 1, 1, 0, 1, 1
301351,-1,-1,-1,-1,-1,-1,-1
301353, 0, 0, 1, 0, 0, 0, 0
301354, 0, 0, 0, 0, 0, 0, 0
301355, 0, 0, 1, 0, 0, 0, 0
301356,-1,-1,-1,-1,-1,-1,-1
301357, 0, 0, 0, 0, 0, 1, 0
301365,-1,-1,-1,-1,-1,-1,-1
301366, 0, 0, 0, 0, 0, 0, 0
301367,-1,-1,-1,-1,-1,-1,-1
301368,-1,-1,-1,-1,-1,-1,-1
301369,-1,-1,-1,-1,-1,-1,-1
301370, 0, 0, 0, 0, 0, 1, 0
301371, 0, 0, 0, 0, 1, 0, 0
301373, 0, 0, 0, 0, 0, 0, 0
301375, 1, 1, 0, 0, 0, 1, 1
301376,-1,-1,-1,-1,-1,-1,-1
301377,-1,-1,-1,-1,-1,-1,-1
301383, 0, 0, 0, 1, 0, 0, 0
301384, 0, 1, 0, 1, 0, 0, 0
301388,-1,-1,-1,-1,-1,-1,-1
301389,-1,-1,-1,-1,-1,-1,-1
301391,-1,-1,-1,-1,-1,-1,-1
301393, 1, 0, 1, 0, 0, 0, 0
301396, 0, 0, 1, 0, 0, 0, 0
301399, 0, 0, 0, 0, 0, 0, 0
301402, 0, 0, 0, 0, 0, 0, 0
301404, 0, 0, 0, 0, 1, 0, 0
301408,-1,-1,-1,-1,-1,-1,-1
301410,-1,-1,-1,-1,-1,-1,-1
301411,-1,-1,-1,-1,-1,-1,-1
301412, 0, 1, 1, 0, 0, 0, 0
301416,-1,-1,-1,-1,-1,-1,-1
